N°DPE;Etiquette_DPE;Année_construction;N°_voie_(BAN);Code_postal_(BAN);Nom__rue_(BAN);Nom__commune_(Brut);Conso_5_usages_é_finale
2378E0491341V;E;1945;5bis;78740;Rue du Pressoir;VAUX SUR SEINE;19309,9
2173E0590052D;D;1989;2;73410;Impasse du Petit Villard;LA BIOLLE;25367,9
2259E2068687F;F;1961;;59000;Rue des Ecoles (Lomme);LILLE;9738,2
2322E3506408U;D;1976;;29160;0-Route de Dinan V2;DINAN;8936,4
2113E0590022R;E;1948;;13115;D’952;SAINT-PAUL-LÈS-DURANCE;23561,9
2180E1046467V;D;2001;82;80090;Rue Abladène;Amiens;7257,9
2383E0702593C;C;1978;;83310;Avenue Louis Aragon;COGOLIN;6365,2
2183E0590844Z;C;1989;1093;83570;Traverse de la Colle;COTIGNAC;16444,3
2229E0772915R;D;1977;;29700;Hent Prad Gouyenn;PLOMELIN;2626,6
2375E3142457S;G;1945;3;75004;Rue de Turenne;Paris;4188,4
2180E0580553B;E;1948;6;80160;Allee des Coquelicots;PLACHY-BUYON;27755,2
2222E0614889M;E;1991;;22300;;LANNION;2330,8
2378E0263935L;E;1994;11;78420;Allee la Valliere;CARRIERES SUR SEINE;3191,3
2188E0586618Q;C;1947;212;88100;Rue d’Epinal;ST DIE DES VOSGES;16154,1
2237E2279949V;E;1948;65;37000;Boulevard Heurteloup;TOURS;7383,9
2377E0913990N;D;2013;3bis;77144;Rue Louis Pasteur;CHALIFERT;11457,4
2189E0574948V;D;1948;3;89000;Allée Heurtebise;AUXERRE;14378,1
2249E2825312U;B;2017;16;49000;Boulevard de Lavoisier;ANGERS;633,8
2383E3671278H;F;1964;140;83500;Boulevard de la Verne;LA SEYNE-SUR-MER;19798,9
2188E0575529D;E;1948;18;88700;Rue du Docteur Pierre Mathieu;RAMBERVILLERS;15013,7
2244E1014385O;D;1945;70;44350;Faubourg Saint-Armel;GUERANDE;2542,4
2351E3896102D;G;1956;9;51200;Rue de Champrot;Epernay;5668,9
2188E0575548W;E;1948;18;88700;Rue du Docteur Pierre Mathieu;RAMBERVILLERS;15013,7
2257E1798197R;G;1948;28;57240;Rue Pasteur;Nilvange;12886,8
2338E0465625F;C;1983;;38420;Allee Saint Saens;Le Versoud;71335
2138E0568072K;D;1948;187;38690;Rue de Combe Buclas;LONGECHENAL;29688,9
2221E1526141P;E;1993;;21000;Voie du 21ème Siècle;Dijon;2430,4
2330E2839940S;C;1991;16;30130;Rue Haut Mazeau;Pont-Saint-Esprit;6478,3
2101E0570274R;D;1947;37;01270;Impasse d’Arboz;DOMSURE, France;41334,3
2233E2365343B;E;1945;19;33000;Rue Turenne;BORDEAUX;8211,1
2395E1571856T;C;1948;6;95880;Rue de Puisaye;Enghien-les-Bains;118687,1
2159E0562647O;C;1948;20;59640;Rue Frédéric Chopin;DUNKERQUE;24479,4
2221E1905562S;E;1989;8;21160;Rue du Puits de Tet;Marsannay-la-C*u00f4te;5554,6
2377E3454115Q;D;1960;45;77320;Rue du 8 Mai 1945;LA FERTE-GAUCHER;8798,6
2159E0555082P;F;1947;14;59266;Rue du Château;BANTOUZELLE;27967,6
2276E2503359A;D;2006;27;76150;Alsace lorraine;MAROMME;6424,1
2393E0849472R;D;1948;;93270;Avenue Berthelot;Sevran;9637,2
2105E0537301Q;F;1948;;05400;;LA ROCHE DES ARNAUDS;46064
2285E2636727X;E;1948;11;85610;Rue de la cite d'antières;CUGAND;10031,4
2328E3618034I;D;1966;7;28210;Rue des Grenets;Nogent-le-Roi;16808,5
2103E0539540R;G;1947;;03250;;LE MAYET DE MONTAGNE;40322,3
2268E3073311Y;D;1945;20;68000;Rue de la Bleich;Colmar;3015,7
2378E2568144W;D;1965;26;78190;Square Jean Macé;Trappes;10715,8
2174E0541885P;E;1948;10;74200;Impasse du Saugey;ANTHY SUR LEMAN;28078,4
2295E0279689Z;D;1988;;95700;de l'Europe;Roissy-en-France;51888,5
2244E3226529A;C;1955;;44400;Rue de la Coran;Rezé;9981,6
2169E0443235E;D;2003;;69450;65 Montée des Balmes;SAINT-CYR-AU-MONT-D'OR;22623,7
2251E2811505V;D;1989;68;51100;boulevard Pommery;REIMS;4570,1
2380E3710834O;C;2009;16;80300;Rue Jean Mermoz;Albert;7213,4
2140E0432830W;B;1949;;40200;1301 Chemin de Bidaou;PONTENX LES FORGES;15471
2244E0086346T;C;1961;13;44350;Rue des Métais;GUERANDE;8545,5
2383E3047854L;D;1948;127;83000;Avenue du Port de Plaisance;Toulon;11096
2138E0297498S;G;1980;;38550;11 Rue Louis Blanc;SAINT-MAURICE-L'EXIL;36315,8
2237E0827271P;G;1945;4bis;37100;Place de la Tranchée;TOURS;3379,3
2351E1384317A;D;1975;11;51200;Rue de Picardie;Epernay;15032,9
2113E0267010D;E;1960;;13540;385 C, Chemin de la Bedoule;AIX-EN-PROVENCE;52925,1
2149E1035719G;B;2002;;49123;Lieu Dit les Landes;INGRANDES;2231,9
2391E1417800J;C;1948;;91000;Square Diderot;EVRY;8488,7
2101E0234160F;D;1900;;01090;680 Chemin d’Amareins;FRANCHELEINS;42704,9
2251E0383629Z;F;1945;33;51100;Rue de la Neuvillette;REIMS;6273,9
2315E2194168T;E;1948;20;15000;Boulevard d'Aurinques;AURILLAC;16277,8
2142E0105866K;D;2003;;42800;60 Rue Jules Toussaint;RIVE-DE-GIER;13626,4
2208E2245737W;G;1945;6;08190;Route de Poilcourt;BRIENNE SUR AISNE;20691,5
2287E3234601D;F;1982;;87230;Avenue de la Tardoire;CHALUS;17747,9
2122E0156247J;E;1948;;22410;21 Le Pont es Marais;PLOURHAN;14981,8
2213E1975988C;D;1989;;13310;Residence le Trident;SAINT-MARTIN-DE-CRAU;4353,1
2335E3224354B;C;1989;15;35000;Allée du Lavais;RENNES;10466,3
2142E0105598C;E;1983;;42300;9 Allée Bernard Palissy;VILLEREST;23634,1
2292E0395940B;F;1980;4;92330;Sentier de Fontenay;Sceaux;2582,6
2368E0850143N;F;1967;2;68290;Rue Charles Walliser;Masevaux;21938,7
2165E0142528J;D;1950;;65370;12 avenue du Gouhouron;SIRADAN;13515,8
2259E2345460I;D;1948;;59350;76 rue de Lambersart;Saint-André-lez-Lille;2879,1
2335E2873420P;C;1948;13;35000;Square de Provence;RENNES;9025,1
2144E0974225X;C;1976;3;44800;Rue d'Amiens;Saint-Herblain;7951
2262E2649729C;E;1981;;62750;RUE JEAN LEROY;LOOS-EN-GOHELLE;7374,6
2236E3197706D;D;1953;;36000;Impasse Saint-denis;CHATEAUROUX;316675,7
2144E0974347P;C;1976;3;44800;Rue d'Amiens;Saint-Herblain;12981,1
2233E0624061R;D;1961;22;33850;Chemin de la Bayche;LEOGNAN;3238,2
2393E3510020L;D;1983;9;93160;Place Louis Aragon;NOISY-LE-GRAND;8013,4
2106E0974901L;C;1975;23;06300;Rue Georges Ville;NICE;9630,1
2295E2735652C;E;1983;3;95500;Rue General Leclerc;GONESSE;7228,8
2314E3456040G;E;2003;27;14290;Avenue du Bois;LA VESPIERE;8295,6
2136E0969127N;E;1948;13;36200;Rue Claude Bernard;ARGENTON SUR CREUSE;20046,3
2230E0858105G;C;2008;9bis;30300;du Chateau;Vallabrègues;5314,8
2375E0258265G;E;1945;86;75007;Rue Saint-Dominique;PARIS;2545,8
2144E0952774W;C;1948;8;44400;Allée du Lac de Grand Lieu;REZE;8184,9
2253E2709944S;B;1945;;53940;Rue de la Poterie;ST BERTHEVIN;3853,1
2235E3235975Z;E;1989;;;;LA BAZOUGE-DU-DESERT;6260,1
2136E0953115R;F;1948;18;36200;Rue Claude Bernard;ARGENTON SUR CREUSE;26417,1
2273E0570293F;E;2011;;73130;Rue de la Madeleine;SAINT-FRANCOIS-LONGCHAMP;10659,6
2335E1027375W;D;1975;1;35370;Rue des Forges;GENNES-SUR-SEICHE;6018,8
2179E0955527C;C;1947;30;79000;Rue de la Règle;NIORT;28162,3
2295E2522865Z;D;1993;1;95180;Place de la Croix du Jubile;Menucourt;4681,9
2351E3095254H;C;1945;5;51220;Rue Visin;HERMONVILLE;11192
2191E0905974R;D;1961;8;91200;Allée du Président Denis;Athis-Mons;10662,8
2229E2616086W;E;1998;;29590;Impasse An Duchen;ROSNOEN;7215,4
2375E0834994D;D;1989;7;75019;Allée Darius Milhaud;PARIS;7710,7
2129E0845987C;F;1947;;29640;;SCRIGNAC;40033,2
2280E2553498P;F;1945;26;80000;Rue Dewailly;AMIENS;3353,6
2395E2123142B;D;1972;23;95380;Hameau du Goupil;Puiseux-en-France;10886
2169E0851644F;E;1948;31;69140;Avenue Maurice Ravel;RILLIEUX LA PAPE;13250,1
2162E1029180G;D;1979;;62260;Rue Cauchy;CAUCHY A LA TOUR;5373,5
2383E1528149G;A;2016;84;83100;Rue du Haras;Toulon;998,8
2128E0841363F;C;1998;123;28210;Grande Rue;VILLEMEUX SUR EURE;16854,4
2244E0838243W;D;1985;64;44490;rue du traict;LE CROISIC;5975
2392E3873864K;C;1989;11;92100;Rue Diaz;BOULOGNE BILLANCOURT;7144,8
2172E0841378M;D;1947;5;72320;Place de l’Église;SAINT-MAIXENT;20761,5
2280E0221447I;D;1945;19;80000;Rue Jules Lardière;Amiens;6669,4
2344E0199615H;G;1945;2;44000;Rue Charles Monselet;NANTES;6262,1
2137E0842061K;C;2018;11;37360;Les Hauts de la Choisille;BEAUMONT LOUESTAULT;9828,8
2230E1083217K;D;1980;107;30130;jean moulin;Pont-Saint-Esprit;4086,7
2377E3030641E;C;2009;19;77240;Rue de Paris;Cesson;2965
2172E0842456Y;C;1957;27;72100;Boulevard de la Fresnellerie;LE MANS;8692,5
2283E2793894S;D;1948;177;83500;Chemin Jacques Casanova;LA SEYNE-SUR-MER;8068,6
2328E3852284Y;D;1978;2;28110;Rue des Chênes;Lucé;3281,7
2189E0844003C;G;1947;65;89100;Rue du Général de Gaulle;SENS;23181,8
2291E0554862K;G;1961;14;91600;Avenue des Marronniers;Savigny-sur-Orge;13516,2
2378E0538165T;E;1983;10;78180;Passage de la Pérouse;MONTIGNY LE BRETONNEUX;11873
2120E0844460A;C;1971;;20270;Pompugliani;TALLONE;18020
2263E1295409X;D;2005;140;63110;rue Clément Ader;BEAUMONT;3789,5
2344E1101714K;B;1983;;44360;Rue des Jonquilles;Saint-Étienne-de-Montluc;4847,2
2172E0836121H;C;1957;;72100;;LE MANS;3897
2229E1981521N;D;1994;16;29860;rue Marechal Leclerc;PLABENNEC;4470,8
2375E0273058F;G;1945;8;75020;Rue de la Cour des Noues;PARIS;13786,3
2162E0836571F;D;1947;43;62270;Rue Principale;BLANGERVAL BLANGERMONT;26942,5
2149E1036900R;B;2002;;49410;Rue de Bel Air (le Marillais);LE MARILLAIS;2284,6
2392E2535443R;F;1962;4bis;92800;Rue Cartault;Puteaux;240645,7
2172E0836695J;C;1957;;72100;;LE MANS;5668,5
2280E2960537Y;E;1945;13;80800;Rue Théodore Delacour;Villers-Bretonneux;9056,4
2344E1103639L;B;1983;;44260;Rue Georges Clémenceau;Savenay;6208,7
2172E0838165X;C;1957;17;72100;Boulevard Jean-Sébastien Bach;LE MANS;5677,8
2224E2330693A;G;1967;;24350;Route de Saint Astier;TOCANE ST APRE;19475,6
2356E1958444A;D;2006;13;56350;Allee de la Source du Bled;ALLAIRE;6484,8
2160E0831568S;E;1947;1;60600;Rue de la Garenne;CLERMONT;29169
2275E0441831L;G;1945;32;75011;Rue Emile Lepeu;PARIS 11;5770,3
2358E0300064G;F;1945;62;58000;Rue d'Alsace Lorraine;NEVERS;5361,7
2188E0791772E;C;1989;412;88520;Rue de lâ€™Etang du Bois le Roy;RAVES;17814
2206E0188903U;C;1945;7;06130;Vieille Boucherie;Grasse;2555,9
2328E1996551P;D;1989;1;28190;Rue du Parc;Courville-sur-Eure;6841,8
2176E0792498Q;G;1948;9;76620;Rue Henri Cayeux;LE HAVRE;28631,4
2255E0491596S;D;1945;8;55100;Rue d'Isly;Verdun;9191
2387E3628096P;C;1967;5;87480;Rue Pierre Penicaud;SAINT-PRIEST-TAURION;4377,8
2161E0792529G;F;1947;54;61200;Rue de Coulandon;ARGENTAN;28577,3
2244E1321605S;E;1945;;44350;;GUERANDE;3529,4
2356E3129232I;C;2006;6;56220;Domaine de Villeneuve;SAINT JACUT LES PINS;6317,1
2173E0797485I;G;1948;97;73440;Rue Corbet;LES BELLEVILLE;56140,1
2251E2308228A;D;1992;9;51140;Rue des Sablons;Breuil-sur-Vesle;11193,9
2391E0179123Y;C;2001;8;91000;Rue Charlie Chaplin;EVRY;4003,9
2176E0820665Z;C;2010;16;76800;Rue Hector Malot;ST ETIENNE DU ROUVRAY;11856,6
2229E2009071D;D;1948;13;29680;Rue Laënnec;ROSCOFF;3493,7
2351E0678523C;F;1978;3;51700;Rue des Erables;DORMANS;10409,7
2135E0823974R;D;1948;14;35200;Rue Louis Bossière;RENNES;11239,8
2291E2887490W;C;1978;;91140;Residence des Foulons;VILLEBON-SUR-YVETTE;5460,8
2349E2147081A;B;1989;;49170;Square les Jousselins;Saint-Germain-des-Prés;1950,3
2180E0815966K;D;1947;7;80250;Rue du Fort;HALLIVILLERS, France;34784,3
2249E2835872Y;B;2017;16;49000;Boulevard de Lavoisier;ANGERS;738,1
2392E2963812K;E;1945;5;92240;Rue Victor Hugo;MALAKOFF;4157,8
2154E0807563F;E;1947;4;54118;Rue Jeanne dâ€™Arc;MOYEN;48648,3
2244E0106109W;D;2011;19;44680;Rue de Bazouin;Sainte-Pazanne;5844,2
2392E3477226C;D;1948;110;92400;Avenue Marceau;COURBEVOIE;5206,5
2160E0808874W;E;1947;2;60210;Rue du Patis Durand;SOMMEREUX;15600,1
2214E3118712B;C;2015;49;14000;Avenue de la Côte de Nacre;CAEN;1466,8
2395E0112341O;D;1954;;95200;Boulevard Maurice Ravel;Sarcelles;13879,2
2180E0809757P;G;1947;2;80160;Rue des Racques;MONSURES;52467,8
2267E2446546O;C;1948;2a;67270;Rue de Schaffhouse;HOCHFELDEN;6468
2377E2051033Y;C;2013;19;77330;Avenue du General Leclerc;Ozoir-la-Ferrière;3191,2
2163E0810755I;F;1947;15;63460;Rue du Sagnat;JOZERAND, France;27206
2213E1322198I;B;1995;;13110;Rue Denis Papin;Port-de-Bouc;2192,4
2251E3233294M;D;1957;75;51100;rue de Louvois;Reims;9905,3
2168E0810716A;C;2003;17;68840;Allée des Merises;PULVERSHEIM;18717,1
2277E0722851Z;C;1977;;77270;.;VILLEPARISIS;4428,9
2316E1408433F;C;2012;37;16800;Rue Maurice Ravel;Soyaux;4766
2101E0801631A;E;1968;208;01710;Rue de lâ€™Etraz;THOIRY;26277,3
2292E3099312X;G;1945;4;92130;GEORGES MARIE;Issy-les-Moulineaux;18878,1
2375E2295044X;C;1948;;75015;Rue Anselme Payen;PARIS;6111,5
2158E0802752I;G;1947;3;58220;Rue des Orchidées;CIEZ, France;32056,2
2250E0263188P;D;1981;3;50700;Rue Gilles de Gouberville;Valognes;9196,1
2336E0849757L;D;1956;;;;CHATEAUROUX;13751,5
2186E0804253D;D;1947;2;86600;Rue Casse Bots;JAZENEUIL;20825,5
2259E1640825Z;D;1995;19;59800;Rue de la Digue;LILLE;2910,4
2367E0852613M;D;2013;2;67300;Rue Vauban;SCHILTIGHEIM;10870,7
2143E0784416N;E;1947;972;43110;Route dâ€™Ouillas;AUREC-SUR-LOIRE;20384,8
2233E0220063H;C;2010;12;33600;Rue Avigdor;PESSAC;5213,7
2376E1560275P;E;1968;10;76600;Impasse Bucaille;LE HAVRE;16492,8
2150E0787385Z;G;1947;14;50270;Rue Breissand;BARNEVILLE CARTERET, France;25302,7
2244E0218094Z;C;2011;7;44115;Rue Marie Curie;Basse-Goulaine;4696,7
2316E0525189H;C;1983;3;16000;Rue Larreguy;Angoulême;7257,3
2101E0781035W;E;1947;221;01480;Rue du Beaujolais;JASSANS RIOTTIER;50824,5
2273E1957930W;C;1982;180;73000;Rue costa de beauregard;CHAMBERY;4259,5
2244E3226972B;D;1955;;44400;Rue de la Coran;Rezé;3421,3
2192E0771461D;G;1970;6bis;92500;Rue des Houtraits;RUEIL-MALMAISON;29927,1
2238E0280689G;B;1947;;38112;;AUTRANS MEAUDRE EN VERCORS;8297,6
2342E2817396C;G;1945;9;42100;Rue Président Masaryk;SAINT-ETIENNE;29614
2138E0775724A;E;1975;24;38400;Avenue de la Galochère;SAINT-MARTIN-D'HÈRES;23982,6
2205E1382175V;D;2002;560;05000;Route des Marins;CHATEAUVIEUX;14578,6
2393E2358508N;D;1948;5;93450;Rue Lénine;L'Île-Saint-Denis;9156
2144E0776542S;C;1974;24;44620;Rue des Mésanges;La Montagne, France;20924
2227E0966515T;E;1970;16;27190;Rue de l’Église;SÉBÉCOURT;8074,4
2324E0639062I;E;1945;2bis;24160;Avenue de la Bascule;GENIS;7522,9
2159E0758311C;D;1983;14t;59650;Rue dâ€™Hem;VILLENEUVE-D'ASCQ;34022,7
2211E2029628C;E;;;11600;;LIMOUSIS;20455
2394E0446151J;E;1948;44;94300;Rue Diderot;VINCENNES;20876,4
2149E0759643Y;E;1947;;49500;;SEGRE-EN-ANJOU-BLEU;36444,5
2201E2936509T;E;1949;25;01700;Rue des Andres;SAINT MAURICE DE BEYNOST;13675,7
2351E3335379W;F;1945;18;51100;rue de Strasbourg;REIMS;7964,1
2174E0762584A;E;1983;8;74100;Rue du Jura;AMBILLY;18286,7
2217E2199997Z;C;1968;;17000;Avenue de Paris;LA ROCHELLE;8144,2
2344E1286115T;D;1983;42;44380;Avenue des Bleuets;PORNICHET;16895
2145E0749580T;D;1947;251;45170;Rue de Chevilly;SAINT-LYÉ-LA-FORÊT;32100,4
2265E2458920K;E;;4;65390;Route dâ€ Aurensan;ANDREST;41290,2
2313E1680699W;C;1948;153;13940;Route de Noves;MOLLEGES;6427,1
2163E0755048T;C;2003;;63350;;BULHON;14011,4
2242E2993912D;D;2006;25;42320;Rue de l'Helianthe;ST CHRISTO EN JAREZ;15765,6
2349E3465175Y;D;1994;31;49270;Rue Saint-Martin (Le Fuilet);LE FUILET;7859,3
2145E0745585C;C;1947;3;45130;Rue des Vallées;BAULE;18857,4
2238E0774818F;D;1988;257;38110;Chemin du Luminaire;SAINT VICTOR DE CESSIEU;12795,3
2335E0058964H;D;1983;;35600;Rue de la Grée du Bourg;BAINS-SUR-OUST;8548,8
2163E0746157U;D;1948;17;63730;Route de Longues;CORENT;25961,1
2213E0078264S;C;1980;;13127;;VITROLLES;12189,1
2351E0006021Q;D;1989;18;51100;rue des Jardins;REIMS;3755,7
2156E0746444O;D;1947;;56850;;CAUDAN;25661,3
2206E2539586R;C;1917;172;06530;Chemin de Speracedes;LE TIGNET;10505,4
2373E1410891Y;D;1990;54;73200;Rue pierre de coubertin;Albertville;258929,9
2157E0746903G;D;1947;12;57220;Rue Principale;NARBÉFONTAINE;29943,4
2221E1408680W;C;1961;5;21240;Rue des Benedictins;TALANT;10201,3
2392E0620377H;D;1989;18;92200;Rue des Graviers;Neuilly-sur-Seine;7482
2141E0747100F;D;1947;10;41110;Rue Anatole France;ST AIGNAN;19520,9
2245E0053287H;G;1978;18;45500;Place de la Victoire;GIEN;25575,4
2327E3866968R;A;1989;;27620;Rue de Paris;GASNY;1806,9
2169E0736497M;G;1947;24;69630;Rue Anatoile Celle;CHAPONOST;188715,1
2214E0014156B;E;1960;5;14000;Rue Sophronyme Beaujour;CAEN;15909,7
2366E3598150A;B;2019;6;66600;Rue de Madrid;Rivesaltes;2308,1
2158E0738183X;F;1947;;58230;;MOUX EN MORVAN,;35384,8
2273E2452780O;C;2005;402;73100;Chemin du rocher;MOUXY;6413,9
2367E3375777G;C;1985;2;67380;Rue Mozart;Lingolsheim;3733,9
2169E0738421M;C;2001;10;69380;Chemin des Courriers;LISSIEU;15477,6
2266E3065997O;A;2017;31;66530;rue sainte-joséphine;CLAIRA;2882,9
2369E3014641M;C;2014;393;69400;Rue Condorcet;Villefranche-sur-Saône;5628,6
2171E0739943C;C;1947;59;71118;Rue des Sports;SAINT-MARTIN-BELLE-ROCHE;28851,2
2246E2265767S;D;;336;46000;Pech de Fargues;CAHORS;17463,9
2328E3895131X;E;1985;6;28110;Place des Arcades;Lucé;7212,5
2178E0731014Y;F;1947;49;78250;Rue Alfred Lasson;MEZY SUR SEINE;47592
2221E2381184W;D;;7ter;21400;Rue du General de Gaulle;CHATILLON SUR SEINE;18253,8
2335E3038207O;D;1983;4;35120;Rue du Prieuré;Roz-Landrieux;4568,5
2173E0733488X;F;1948;703;73800;Route de Francin;PORTE DE SAVOIE;34373,7
2262E2795016B;C;2013;;62950;Avenue de la République;NOYELLES GODAULT;87683,6
2328E3295605F;E;1982;3;28380;Allee Georges Brassens;Saint-Rémy-sur-Avre;10227
2163E0726693E;F;1948;;63970;;SAULZET LE FROID;20844,1
2235E3116396U;B;2017;65;35500;Rue Françoise Dolto;VITRE;5029,2
2344E1521443V;D;1995;21;44690;la Huperie;MONNIERES;8706
2176E0721995Z;F;1947;10;76390;Rue Centrale;RICHEMONT, France;29812,9
2291E0695332C;F;1980;6;91350;Chemin du Pléssis;GRIGNY;2421,5
2352E2504751R;F;1978;18;52120;Rue des Récollets;Chateauvillain;10310,8
2162E0713509B;C;1947;222;62141;Rue Emile Basly;EVIN MALMAISON, France;33258,5
2277E2214262Y;C;2009;2;77173;Rue Jean-charles TUPET;Chevry-Cossigny;7519,1
2338E1344629B;D;1993;40;38610;Rue de la Fontaine;Gières;1935,2
2171E0714659Q;D;1947;;71460;;SAINT-MARTIN-DU-TARTRE;22575,4
2250E1337333W;E;1981;29;50110;Allee Emile Dorree;Cherbourg-en-Cotentin;12009,7
2308E3193299P;F;1948;1;08110;Promenade des Remparts;CARIGNAN;13444,4
2183E0714684B;C;1989;;83460;;LES ARCS;15577,6
2280E2354831O;C;1971;5;80270;Rue Pasteur;AIRAINES;3212,6
2383E2866877U;A;2013;210;83210;rue de la pépinière;La Farlède;1582,7
2159E0703592N;D;1970;17;59710;Allée des Tilleuls;MERIGNIES;31605,9
2222E0614701G;E;1991;;22300;;LANNION;2731,1
2375E3177583S;G;1945;6;75018;Rue André Antoine;Paris;6788,8
2171E0695764X;E;1978;822;71170;Chemin du Perret;COUBLANC;47287,4
2221E1888395L;G;1945;7;21000;Rue Paul Cabet;Dijon;3569,1
2391E3928029Q;E;1983;1;91330;Rue Max Bourgin;YERRES;7344,1
2185E0697585M;G;1947;15;85110;Rue de Chavagnes;SIGOURNAIS;38534,1
2283E2859846I;C;1978;109;83140;Rue de la Republique;Six-Fours-les-Plages;5824,9
2334E3067374I;C;1987;23;34350;Boulevard Cosses sous les Condamines;Valras-Plage;2185,1
2172E0690429T;G;1948;34;72200;Chemin de la Ballastière;LA FLECHE;44511
2278E0194460H;F;2010;20;78340;Avenue des Pommiers;LES CLAYES SOUS BOIS;6000,2
2371E0352508V;C;1945;20;71140;Rue de Champblanc;BOURBON-LANCY;3471,2
2112E0692721P;D;1970;;12150;;SEVERAC D AVEYRON;60152,2
2259E0869946U;C;1989;12b;59221;Rue Emile Zola;BAUVIN, France;12802,7
2383E1450306H;E;1948;;83000;;TOULON;4816,2
2167E0692842J;D;1948;14;67370;Rue de Reitwiller;REITWILLER;22845
2265E2023051F;B;;1;65360;Impasse du Montaigu;SALLES ADOUR;9982
2373E1392486B;E;1900;44;73200;Route de saint guérin;Grignon;9592,6
2185E0694573Q;D;1947;14;85250;Le Poteau;Chavagnes-en-Paillers;23093,9
2269E1779609F;C;2010;40;69720;Vie de Genas;SAINT BONNET DE MURE;7216
2335E3854598F;E;1983;12;35000;Rue de Saint-Malo;RENNES;2968,4
2160E0662008E;F;1947;24;60510;Rue Pierre et Marie Curie;BRESLES;32466,4
2235E2133731Z;D;1950;10;35000;Rue Le Coz;RENNES, France;21040
2338E1345097B;D;1993;40;38610;Rue de la Fontaine;Gières;4296,6
2171E0662185K;E;1948;33;71100;Rue Edouard Benes;CHALON SUR SAONE;22882,9
2278E0011485U;F;1961;1;78300;Boulevard Devaux;POISSY;15262
2229E3210099N;E;1968;;29590;rue de Roz ar Pont;PONT-DE-BUIS-LES-QUIMERCH;8121
2112E0663623L;E;1948;41;12220;Avenue du Ségala;MONTBAZENS, France;39031,7
2254E0818950F;B;1947;3;54420;Rue de Réméreville;CERVILLE;11232,8
2363E0397971C;F;1945;13;63100;place Poly;CLERMONT FERRAND;4742,6
2129E0664611C;E;1950;9;29950;Route du Letty;BENODET;44828,6
2234E2010200T;B;2013;831;34790;Rue Francois Ranchin;GRABELS;3195,5
2393E1901178X;D;1989;71;93100;Rue de la République;Montreuil;1526,9
2117E0664932Z;D;1960;45;17290;Chemin Rochelais;AIGREFEUILLE D AUNIS;35147,3
2281E0190006C;E;1948;24;81500;Avenue Charles de Gaulle;LAVAUR;7996,9
2358E1818367N;D;1945;16;58300;Route d'Avril;DECIZE;7676,8
2131E0668272Z;C;1947;4bis;31140;Chemin André Salvy;AUCAMVILLE;13512,8
2213E1334342K;C;;5;13800;Impasse des Noisetiers;ISTRES;10808,2
2335E3870197E;C;2006;3;35510;Rue de la Prairie;CESSON-SEVIGNE;3511,4
2143E0687677U;E;1996;11;43500;Chemin des Roches;CRAPONNE-SUR-ARZON;25322,3
2254E1632582T;B;;60;54450;Rue de la Libération;BENAMENIL;11582
2335E0434071M;C;2013;4;35135;Avenue de la Grotte;CHANTEPIE;3981,1
2167E0675113M;G;1947;7;67240;Rue Georges Clémenceau;BISCHWILLER;59249,1
2233E2383001F;A;;12;33260;Passage de la Traine;LA TESTE;2042,5
2380E0494842O;C;1970;179;80000;Rue Lescouvé;Amiens;9255,9
2159E0676061Q;D;1947;122;59154;Avenue du Roy de Blicquy;CRESPIN;22999,7
2203E3182389T;E;1980;19;03190;Route de Vilsoul;VERNEIX;6436,3
2363E1956642Z;E;1948;6;63000;rue Rameau;CLERMONT FERRAND;38513,9
2176E0676417Z;D;1991;9;76240;Square Jean Thieulin;LE MESNIL ESNARD;27227,2
2256E0261028T;C;2021;;56100;ISAI POLYGONE MARINE;Lorient;4910,6
2393E1306516H;G;1948;38;93150;Rue Joseph le Brix;LE BLANC-MESNIL;30644,1
2151E0676647W;G;1947;16;51400;Rue du Four;Bouy, France;30541,2
2295E2147762Y;C;1948;25;95400;Avenue du 8 Mai 1945;Villiers-le-Bel;5882,7
2376E3119640E;C;1964;6;76700;Rue Arvid Harnack;HARFLEUR;5120,3
2159E0677076R;C;2006;2;59830;Rue de la Planquette;BOURGHELLES, France;10901,5
2291E0579973F;C;1961;;91540;;MENNECY;5265,3
2358E0846604A;F;1945;11;58160;Rue des Coppes;DRUY-PARIGNY;36908
2149E0677167U;E;1947;48;49500;Avenue du General Andigne (Segré);SEGRE EN ANJOU BLEU;14109,1
2211E2601471B;E;1948;;11800;Chemin de la Lande;TREBES;25506,3
2375E1567531Q;D;1948;19;75019;Rue de Nantes;PARIS;9684,6
2195E0678957K;D;1978;20;95310;Rue d’Aquitaine;ST OUEN L AUMONE;20383
2294E1996105Y;C;1948;21;94320;Rue de la Couture du Moulin;THIAIS;11386,5
2393E3478590P;D;1975;;93420;Rue Claude Bernard;VILLEPINTE;7997,1
2117E0668778X;C;2006;10;17110;Allée des Goelands;ST GEORGES DE DIDONNE;22810,6
2235E0713511D;D;1972;131;35000;Rue de Nantes;Rennes;62149,6
2335E2939163E;D;1948;23;35500;Avenue le Gonidec de Traissan;VITRE;12163,5
2195E0670152T;G;1948;71;95100;Rue du Troupeau;ARGENTEUIL;15516,4
2251E1285287D;D;1966;Plusieurs immeubles;51100;des Essillards;Reims;12703,1
2378E1975554Y;D;1975;;78680;Rue Grange - Dime;EPONE;14207,2
2177E0671226J;D;1947;8;77520;Route de Donnemarie;SIGY;18722,8
